epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,212.003,0.47669,0.65763,0.36281,0.87359,0.96613,0.98491,0.98957,0.88664,0.96613,0.98491,0.98957,0.86589,0.51046,0.87923,0.3135,0.90276,0.000792032,0.000792032,0.000792032
31,218.526,0.46863,0.69727,0.34689,0.87716,0.98129,0.97649,0.99033,0.89477,0.98129,0.97649,0.99033,0.86596,0.49709,0.85258,0.29208,0.89386,0.000781033,0.000781033,0.000781033
32,225.028,0.45699,0.66801,0.34256,0.87097,0.96668,0.97979,0.99095,0.88993,0.96668,0.97979,0.99103,0.874,0.49126,0.81185,0.29786,0.89679,0.000770034,0.000770034,0.000770034
33,231.701,0.45636,0.64794,0.3421,0.8754,0.97097,0.97858,0.9913,0.88538,0.97097,0.97858,0.99123,0.86488,0.4978,0.84122,0.28476,0.89698,0.000759035,0.000759035,0.000759035
34,238.47,0.46363,0.64372,0.33495,0.86468,0.96551,0.96801,0.98964,0.88794,0.96551,0.96801,0.98964,0.86945,0.49926,0.88115,0.32398,0.89584,0.000748036,0.000748036,0.000748036
35,244.703,0.45168,0.61603,0.34122,0.86611,0.94524,0.96502,0.98959,0.89537,0.94524,0.96502,0.98959,0.87063,0.49006,0.84143,0.34691,0.89052,0.000737037,0.000737037,0.000737037
36,251.093,0.46864,0.6515,0.34509,0.87445,0.97503,0.97449,0.99,0.89158,0.97503,0.97449,0.99,0.8766,0.48799,0.80164,0.31501,0.89469,0.000726038,0.000726038,0.000726038
37,257.432,0.46566,0.64667,0.34091,0.86847,0.97012,0.97444,0.99112,0.88986,0.97012,0.97444,0.99112,0.86779,0.51668,0.79399,0.33161,0.91084,0.00071504,0.00071504,0.00071504
38,263.643,0.44833,0.60108,0.32596,0.85932,0.97141,0.97661,0.99056,0.88759,0.97141,0.97661,0.99056,0.87636,0.52326,0.79335,0.31478,0.90787,0.000704041,0.000704041,0.000704041
39,270.811,0.4805,0.6573,0.34457,0.87549,0.97421,0.96957,0.9917,0.89306,0.97421,0.96957,0.9917,0.8726,0.50463,0.78187,0.30707,0.90173,0.000693042,0.000693042,0.000693042
40,280.276,0.46527,0.61876,0.3369,0.8761,0.97875,0.96348,0.99237,0.8971,0.97875,0.96348,0.99237,0.87182,0.50581,0.77307,0.3041,0.90031,0.000682043,0.000682043,0.000682043
41,288.378,0.44439,0.60337,0.31642,0.8619,0.97938,0.96257,0.9915,0.89199,0.97938,0.96257,0.9915,0.87448,0.51166,0.76883,0.30226,0.90402,0.000671044,0.000671044,0.000671044
42,294.809,0.45388,0.60853,0.32721,0.87073,0.94731,0.9873,0.99131,0.89292,0.94731,0.9873,0.99131,0.87754,0.49274,0.78822,0.30179,0.89537,0.000660045,0.000660045,0.000660045
43,301.39,0.46515,0.62393,0.32203,0.87075,0.97775,0.9679,0.99181,0.88415,0.97775,0.9679,0.99181,0.87134,0.51548,0.80618,0.30553,0.90033,0.000649046,0.000649046,0.000649046
44,308.325,0.46907,0.64129,0.33637,0.86802,0.98316,0.97557,0.99201,0.88819,0.98316,0.97557,0.99201,0.87987,0.51392,0.78766,0.3194,0.9039,0.000638047,0.000638047,0.000638047
45,316.342,0.44587,0.60584,0.32313,0.86631,0.98426,0.97519,0.98853,0.89419,0.98426,0.97519,0.98853,0.87672,0.49785,0.80322,0.31591,0.89065,0.000627048,0.000627048,0.000627048
46,325.074,0.43693,0.5929,0.31631,0.8528,0.98666,0.9757,0.99168,0.90606,0.98666,0.9757,0.99168,0.88806,0.4726,0.79678,0.28136,0.88044,0.000616049,0.000616049,0.000616049
47,333.615,0.42161,0.59152,0.31432,0.85494,0.9891,0.97815,0.99346,0.90326,0.9891,0.97815,0.99346,0.88062,0.48195,0.79385,0.28023,0.88547,0.000605051,0.000605051,0.000605051
48,342.133,0.4374,0.60666,0.31748,0.85855,0.98971,0.97205,0.9936,0.90251,0.98971,0.97205,0.9936,0.89103,0.48154,0.75881,0.27009,0.88533,0.000594052,0.000594052,0.000594052
49,348.85,0.42388,0.56426,0.3049,0.84753,0.9863,0.97788,0.99301,0.89829,0.9863,0.97788,0.99301,0.88114,0.5006,0.79566,0.29401,0.89812,0.000583053,0.000583053,0.000583053
50,354.773,0.43633,0.59562,0.31942,0.86288,0.96746,0.98802,0.99282,0.89692,0.96746,0.98802,0.99282,0.88351,0.49347,0.76412,0.29005,0.89113,0.000572054,0.000572054,0.000572054
51,360.889,0.42985,0.58404,0.30824,0.86102,0.97053,0.98008,0.99091,0.89227,0.97053,0.98008,0.99091,0.87292,0.49682,0.7705,0.28831,0.89245,0.000561055,0.000561055,0.000561055
52,366.846,0.43618,0.58912,0.31861,0.85496,0.96978,0.98022,0.99157,0.89839,0.96978,0.98022,0.99157,0.88174,0.48249,0.77429,0.28628,0.89176,0.000550056,0.000550056,0.000550056
53,372.825,0.42078,0.59177,0.30587,0.85693,0.97757,0.97396,0.99288,0.90054,0.97757,0.97396,0.99288,0.88403,0.48694,0.77347,0.27597,0.89638,0.000539057,0.000539057,0.000539057
54,378.811,0.41975,0.60388,0.30232,0.85597,0.96662,0.98831,0.99396,0.90089,0.96662,0.98831,0.99396,0.8819,0.48864,0.79588,0.27869,0.8945,0.000528058,0.000528058,0.000528058
55,384.84,0.41039,0.57738,0.28747,0.86035,0.96814,0.98877,0.99232,0.89879,0.96814,0.98877,0.99232,0.88066,0.48608,0.78025,0.27324,0.89758,0.000517059,0.000517059,0.000517059
56,390.818,0.42171,0.58551,0.29752,0.85608,0.97069,0.99354,0.99218,0.9059,0.97069,0.99354,0.99218,0.88457,0.47689,0.78381,0.26472,0.89001,0.00050606,0.00050606,0.00050606
57,396.893,0.41309,0.59325,0.29108,0.85236,0.96855,0.9875,0.99361,0.91075,0.96855,0.9875,0.99361,0.88675,0.45929,0.78077,0.26708,0.87706,0.000495062,0.000495062,0.000495062
58,403.032,0.40447,0.58458,0.2817,0.85168,0.96957,0.98734,0.99334,0.91134,0.96957,0.98734,0.99334,0.88056,0.45314,0.74539,0.2569,0.87557,0.000484063,0.000484063,0.000484063
59,409.125,0.40206,0.56949,0.2882,0.85057,0.98246,0.97935,0.99319,0.90193,0.98246,0.97935,0.99319,0.88001,0.47701,0.76913,0.27122,0.88501,0.000473064,0.000473064,0.000473064
60,415.723,0.4039,0.57153,0.28253,0.85114,0.9764,0.9792,0.99216,0.90883,0.9764,0.9792,0.99216,0.88354,0.47489,0.79133,0.2653,0.88363,0.000462065,0.000462065,0.000462065
61,422.338,0.40418,0.5812,0.2914,0.85345,0.97107,0.98361,0.99218,0.90492,0.97107,0.98361,0.99218,0.8821,0.47379,0.79175,0.27136,0.88759,0.000451066,0.000451066,0.000451066
62,429.053,0.40103,0.54886,0.27994,0.84487,0.97717,0.98472,0.99035,0.89987,0.97717,0.98472,0.99035,0.88204,0.47071,0.7934,0.2634,0.88755,0.000440067,0.000440067,0.000440067
63,435.599,0.3974,0.56361,0.28654,0.85212,0.97396,0.98477,0.98971,0.89527,0.97396,0.98477,0.99002,0.87771,0.47355,0.79873,0.2742,0.88913,0.000429068,0.000429068,0.000429068
64,442.111,0.40747,0.56826,0.28943,0.85544,0.96759,0.99211,0.99157,0.89744,0.96759,0.99211,0.99157,0.8881,0.48997,0.79852,0.27301,0.89528,0.000418069,0.000418069,0.000418069
65,448.613,0.39272,0.54831,0.27316,0.84072,0.96762,0.99126,0.99262,0.90264,0.96762,0.99126,0.99262,0.876,0.4779,0.79405,0.26715,0.88698,0.00040707,0.00040707,0.00040707
66,455.165,0.39009,0.55474,0.27365,0.84333,0.97627,0.97852,0.99161,0.90278,0.97627,0.97852,0.99161,0.88458,0.48599,0.78303,0.26074,0.89048,0.000396071,0.000396071,0.000396071
67,461.683,0.38956,0.56224,0.26487,0.84049,0.96963,0.98308,0.99255,0.90766,0.96963,0.98308,0.99255,0.88315,0.47901,0.77553,0.25884,0.88538,0.000385073,0.000385073,0.000385073
68,468.319,0.39219,0.5543,0.26978,0.84701,0.97998,0.97696,0.99292,0.90652,0.97998,0.97696,0.99292,0.8851,0.47473,0.76682,0.25861,0.88246,0.000374074,0.000374074,0.000374074
69,474.826,0.37455,0.53302,0.26601,0.84821,0.96636,0.99204,0.99332,0.90811,0.96636,0.99204,0.99332,0.88648,0.48037,0.77362,0.25513,0.88675,0.000363075,0.000363075,0.000363075
70,481.438,0.36781,0.53251,0.26281,0.84047,0.97121,0.98698,0.99357,0.90468,0.97121,0.98698,0.99357,0.88393,0.48016,0.79737,0.25715,0.88689,0.000352076,0.000352076,0.000352076
71,488.01,0.38397,0.56091,0.25991,0.84107,0.97426,0.99456,0.99386,0.90727,0.97426,0.99456,0.99386,0.88809,0.4779,0.80576,0.2536,0.88621,0.000341077,0.000341077,0.000341077
