epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,249.14,0.05601,0.06696,0.19411,0.80331,0.98221,0.99231,0.99415,0.96271,0.98221,0.99231,0.99402,0.89638,0.05542,0.06507,0.1857,0.80879,0.000925429,0.000925429,0.000925429
31,257.333,0.05549,0.06604,0.18956,0.80194,0.98501,0.98996,0.99401,0.96066,0.98501,0.98996,0.99393,0.89714,0.05552,0.06524,0.18396,0.80726,0.000922857,0.000922857,0.000922857
32,265.554,0.0548,0.06484,0.18945,0.8023,0.98214,0.9938,0.99386,0.96195,0.98214,0.9938,0.99383,0.90459,0.05577,0.06631,0.18392,0.80941,0.000920286,0.000920286,0.000920286
33,273.953,0.05515,0.0666,0.19136,0.80333,0.98629,0.99175,0.99391,0.96267,0.98629,0.99175,0.99388,0.89604,0.0552,0.06802,0.18684,0.81276,0.000917714,0.000917714,0.000917714
34,282.162,0.05455,0.06434,0.19032,0.80169,0.98127,0.98954,0.99358,0.95942,0.98127,0.98954,0.99358,0.90079,0.05607,0.06498,0.18977,0.81432,0.000915143,0.000915143,0.000915143
35,290.356,0.05413,0.06454,0.18892,0.80056,0.98222,0.98434,0.99223,0.95663,0.98222,0.98434,0.99223,0.89043,0.05749,0.06768,0.20403,0.81171,0.000912571,0.000912571,0.000912571
36,298.591,0.05484,0.06441,0.19253,0.80121,0.98802,0.98372,0.99312,0.95794,0.98737,0.98308,0.99311,0.89347,0.05747,0.06531,0.19468,0.81171,0.00091,0.00091,0.00091
37,306.772,0.05473,0.06425,0.18931,0.80014,0.98205,0.99192,0.99351,0.95959,0.98205,0.99192,0.99351,0.89492,0.05805,0.06774,0.19399,0.81609,0.000907429,0.000907429,0.000907429
38,314.945,0.0543,0.06324,0.18972,0.7985,0.98495,0.98704,0.99279,0.96203,0.98495,0.98704,0.99279,0.89258,0.05598,0.06797,0.18638,0.8118,0.000904857,0.000904857,0.000904857
39,323.103,0.05384,0.06381,0.18541,0.80193,0.98678,0.98982,0.99333,0.96123,0.98678,0.98982,0.99333,0.89583,0.0562,0.06847,0.18104,0.81271,0.000902286,0.000902286,0.000902286
40,331.261,0.0536,0.0644,0.186,0.80169,0.98529,0.98875,0.99394,0.96121,0.98529,0.98875,0.99394,0.89797,0.05772,0.06722,0.19229,0.81332,0.000899714,0.000899714,0.000899714
41,339.444,0.05338,0.06269,0.18691,0.80049,0.97969,0.99005,0.99316,0.96196,0.97969,0.99005,0.99316,0.89779,0.05607,0.06636,0.18589,0.81524,0.000897143,0.000897143,0.000897143
42,347.618,0.0533,0.06228,0.18174,0.79617,0.97981,0.99051,0.99325,0.96267,0.97981,0.99051,0.99325,0.8956,0.05479,0.06626,0.18396,0.81073,0.000894571,0.000894571,0.000894571
43,355.785,0.05332,0.06257,0.18257,0.79902,0.98498,0.98968,0.99285,0.96171,0.98498,0.98968,0.99285,0.90029,0.05556,0.06827,0.18594,0.80967,0.000892,0.000892,0.000892
44,364,0.05298,0.0615,0.18384,0.7977,0.98392,0.9896,0.99349,0.96014,0.98392,0.9896,0.99349,0.89201,0.05549,0.06573,0.18844,0.81206,0.000889429,0.000889429,0.000889429
45,372.156,0.05233,0.06054,0.17781,0.79993,0.98139,0.99177,0.99336,0.96106,0.98139,0.99177,0.99336,0.89179,0.05474,0.06695,0.18793,0.80894,0.000886857,0.000886857,0.000886857
46,380.335,0.05272,0.06137,0.18087,0.79823,0.98367,0.99215,0.99327,0.96072,0.98367,0.99215,0.99327,0.88918,0.05455,0.06747,0.18304,0.81342,0.000884286,0.000884286,0.000884286
47,388.504,0.0526,0.06161,0.18128,0.798,0.9819,0.98865,0.99355,0.96248,0.9819,0.98865,0.99355,0.90172,0.05524,0.06735,0.1854,0.81079,0.000881714,0.000881714,0.000881714
48,396.688,0.05258,0.05948,0.18044,0.79933,0.98019,0.98843,0.99177,0.96135,0.98019,0.98843,0.99177,0.89001,0.05555,0.06711,0.19082,0.8141,0.000879143,0.000879143,0.000879143
49,404.847,0.05318,0.06171,0.18352,0.80075,0.98547,0.98955,0.99271,0.96121,0.98547,0.98955,0.99271,0.89514,0.05642,0.06896,0.18824,0.81781,0.000876571,0.000876571,0.000876571
50,413.032,0.0524,0.06089,0.18075,0.79802,0.98658,0.9892,0.99301,0.96403,0.98658,0.9892,0.99301,0.89166,0.05457,0.06884,0.18346,0.81186,0.000874,0.000874,0.000874
51,421.231,0.05209,0.06116,0.17938,0.79422,0.98098,0.99181,0.99288,0.96244,0.98098,0.99181,0.99288,0.90305,0.05839,0.06578,0.18977,0.81101,0.000871429,0.000871429,0.000871429
52,429.436,0.05158,0.05953,0.17864,0.79734,0.98569,0.98407,0.99294,0.96354,0.98569,0.98407,0.99294,0.89685,0.05755,0.06685,0.19608,0.81351,0.000868857,0.000868857,0.000868857
53,437.635,0.05206,0.05953,0.18325,0.79864,0.98289,0.98637,0.99355,0.9633,0.98289,0.98637,0.99355,0.90185,0.0571,0.0645,0.19792,0.81404,0.000866286,0.000866286,0.000866286
54,445.825,0.05158,0.0596,0.18132,0.7948,0.98448,0.99284,0.99371,0.96355,0.98448,0.99284,0.99371,0.90108,0.05595,0.06773,0.18584,0.81458,0.000863714,0.000863714,0.000863714
55,453.998,0.05101,0.05871,0.17729,0.79339,0.98826,0.99183,0.99297,0.96358,0.98826,0.99183,0.99297,0.9,0.05423,0.06737,0.17899,0.81341,0.000861143,0.000861143,0.000861143
56,462.15,0.05044,0.05808,0.17422,0.79682,0.98455,0.99053,0.99321,0.96385,0.98455,0.99053,0.99321,0.89815,0.05319,0.06825,0.17993,0.81315,0.000858571,0.000858571,0.000858571
57,470.322,0.05076,0.05784,0.17554,0.79428,0.98395,0.98912,0.99272,0.96309,0.98395,0.98912,0.99272,0.90123,0.05454,0.06748,0.18713,0.814,0.000856,0.000856,0.000856
58,478.537,0.05032,0.05906,0.17427,0.79732,0.98265,0.98867,0.99199,0.96286,0.98265,0.98867,0.99199,0.90195,0.05397,0.06642,0.18521,0.8141,0.000853429,0.000853429,0.000853429
59,486.745,0.04953,0.0585,0.17077,0.79335,0.98323,0.98704,0.99216,0.96269,0.98323,0.98704,0.99216,0.89891,0.05462,0.0686,0.18643,0.81469,0.000850857,0.000850857,0.000850857
60,494.938,0.04959,0.05714,0.17191,0.79392,0.98162,0.98832,0.99293,0.96346,0.98162,0.98832,0.99293,0.90401,0.05546,0.06792,0.18259,0.81183,0.000848286,0.000848286,0.000848286
