epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,700.169,0.04737,0.06059,0.17228,0.80477,0.98335,0.98287,0.99261,0.96596,0.98335,0.98287,0.99261,0.95143,0.05177,0.06949,0.18727,0.81457,0.000925429,0.000925429,0.000925429
31,723.165,0.04814,0.0616,0.17419,0.80739,0.98563,0.9863,0.99223,0.96519,0.98563,0.9863,0.99223,0.9515,0.05062,0.06798,0.1831,0.81316,0.000922857,0.000922857,0.000922857
32,746.17,0.04734,0.05964,0.1714,0.80376,0.98371,0.99282,0.99331,0.96674,0.98371,0.99282,0.99331,0.95096,0.05319,0.06809,0.18995,0.80855,0.000920286,0.000920286,0.000920286
33,769.154,0.04737,0.06016,0.17226,0.80318,0.98571,0.98974,0.99304,0.9657,0.98571,0.98974,0.99304,0.95399,0.05249,0.06978,0.18276,0.80302,0.000917714,0.000917714,0.000917714
34,792.083,0.04695,0.05889,0.16855,0.80052,0.97993,0.99481,0.99335,0.96694,0.97993,0.99481,0.99335,0.95444,0.05154,0.0717,0.17705,0.80255,0.000915143,0.000915143,0.000915143
35,815.236,0.04673,0.0606,0.16819,0.80104,0.97954,0.98901,0.99342,0.96459,0.97954,0.98901,0.99342,0.9544,0.05392,0.07194,0.18428,0.80832,0.000912571,0.000912571,0.000912571
36,838.176,0.04622,0.06044,0.17042,0.80177,0.98201,0.9915,0.99316,0.96789,0.98201,0.9915,0.99316,0.95113,0.05218,0.07053,0.18413,0.81676,0.00091,0.00091,0.00091
37,861.164,0.04583,0.05836,0.16843,0.80323,0.9914,0.98292,0.99325,0.96555,0.9914,0.98292,0.99325,0.95441,0.0518,0.07226,0.17766,0.81061,0.000907429,0.000907429,0.000907429
38,884.104,0.04532,0.05787,0.16462,0.80176,0.98299,0.98738,0.99287,0.96528,0.98299,0.98738,0.9927,0.95372,0.05207,0.07212,0.18146,0.80907,0.000904857,0.000904857,0.000904857
39,907.1,0.04596,0.05787,0.16595,0.80092,0.98421,0.98797,0.9926,0.96489,0.98421,0.98797,0.9926,0.95038,0.05074,0.0708,0.17689,0.81113,0.000902286,0.000902286,0.000902286
40,930.055,0.0462,0.05817,0.1672,0.80375,0.98854,0.98536,0.99317,0.9668,0.98854,0.98536,0.99317,0.95417,0.05052,0.0689,0.17632,0.81036,0.000899714,0.000899714,0.000899714
41,953.072,0.04585,0.0572,0.16385,0.80128,0.97982,0.99292,0.99337,0.96783,0.97982,0.99292,0.99337,0.95279,0.05079,0.07081,0.17806,0.81391,0.000897143,0.000897143,0.000897143
42,976.041,0.0454,0.05757,0.1632,0.80085,0.98356,0.9933,0.99234,0.96332,0.98356,0.9933,0.99234,0.95275,0.05226,0.07207,0.18069,0.81707,0.000894571,0.000894571,0.000894571
43,999,0.04498,0.05783,0.16029,0.7972,0.97943,0.99247,0.99251,0.96432,0.97943,0.99247,0.99251,0.95056,0.05185,0.07047,0.17881,0.82103,0.000892,0.000892,0.000892
44,1021.93,0.04463,0.05649,0.16276,0.79513,0.98425,0.98816,0.99318,0.96728,0.98425,0.98816,0.99318,0.95275,0.05218,0.07081,0.17829,0.81599,0.000889429,0.000889429,0.000889429
45,1044.91,0.04402,0.05622,0.15789,0.79794,0.98075,0.99256,0.99307,0.96712,0.98075,0.99256,0.99307,0.95373,0.05241,0.07113,0.18557,0.81732,0.000886857,0.000886857,0.000886857
46,1067.87,0.04464,0.05677,0.15989,0.7995,0.98385,0.9931,0.99377,0.96997,0.98385,0.9931,0.99377,0.9543,0.05113,0.07187,0.17702,0.81821,0.000884286,0.000884286,0.000884286
47,1091.03,0.04475,0.05654,0.16061,0.79947,0.98412,0.98897,0.99335,0.9658,0.98412,0.98897,0.99335,0.95258,0.05267,0.07035,0.18838,0.826,0.000881714,0.000881714,0.000881714
48,1113.96,0.04423,0.05538,0.16149,0.79947,0.97943,0.99295,0.99308,0.96405,0.97943,0.99295,0.99308,0.95305,0.0542,0.07227,0.19123,0.83156,0.000879143,0.000879143,0.000879143
