epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,360.82,0.28287,0.29907,0.21586,0.804,0.97835,0.98126,0.99211,0.9501,0.97813,0.98104,0.99184,0.93011,0.30661,0.34973,0.22053,0.7816,0.000792032,0.000792032,0.000792032
31,372.585,0.27169,0.29013,0.20639,0.80263,0.97941,0.98343,0.99221,0.94814,0.97943,0.98345,0.99205,0.92477,0.30594,0.36498,0.21704,0.78085,0.000781033,0.000781033,0.000781033
32,384.382,0.27513,0.29562,0.21055,0.80063,0.97869,0.98751,0.99207,0.94881,0.9789,0.98772,0.99213,0.92386,0.30068,0.36235,0.2133,0.77862,0.000770034,0.000770034,0.000770034
33,396.105,0.27457,0.29314,0.20537,0.80097,0.97798,0.98662,0.99148,0.94947,0.978,0.98664,0.99128,0.93172,0.30439,0.33847,0.21608,0.78073,0.000759035,0.000759035,0.000759035
34,407.854,0.2695,0.28999,0.20648,0.80101,0.97607,0.98815,0.9915,0.95148,0.9763,0.98838,0.99159,0.94192,0.296,0.32529,0.21144,0.7776,0.000748036,0.000748036,0.000748036
35,419.719,0.25724,0.27865,0.19829,0.80145,0.9796,0.98532,0.99292,0.95442,0.97939,0.98511,0.99269,0.94044,0.29363,0.34023,0.20726,0.77843,0.000737037,0.000737037,0.000737037
36,431.663,0.25538,0.28728,0.19811,0.8,0.97572,0.99007,0.99125,0.95052,0.97572,0.99007,0.99126,0.93791,0.29465,0.32515,0.2131,0.77869,0.000726038,0.000726038,0.000726038
37,443.388,0.25307,0.28449,0.19736,0.80066,0.97787,0.98165,0.99185,0.95334,0.97745,0.98123,0.99152,0.93592,0.28378,0.33455,0.20705,0.77727,0.00071504,0.00071504,0.00071504
38,455.191,0.25287,0.28341,0.19817,0.79939,0.98006,0.98443,0.99197,0.95136,0.97985,0.98422,0.99172,0.93446,0.28666,0.33286,0.20614,0.77657,0.000704041,0.000704041,0.000704041
39,466.959,0.2392,0.27304,0.18687,0.7956,0.97887,0.98391,0.99236,0.95654,0.97843,0.98347,0.99215,0.93504,0.2795,0.33999,0.20605,0.77509,0.000693042,0.000693042,0.000693042
