epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,749.822,0.20507,0.23036,0.16193,0.78727,0.97859,0.98378,0.98981,0.94756,0.97816,0.98335,0.9894,0.91841,0.29628,0.40963,0.19655,0.77696,0.000429068,0.000429068,0.000429068
64,761.535,0.19407,0.22665,0.15243,0.78425,0.97775,0.98414,0.99179,0.95234,0.97756,0.98394,0.99149,0.92417,0.29509,0.38768,0.19613,0.77719,0.000418069,0.000418069,0.000418069
65,773.281,0.18886,0.22245,0.14861,0.78725,0.98124,0.97951,0.99173,0.95369,0.98105,0.97932,0.99144,0.92188,0.28438,0.40717,0.1915,0.77514,0.00040707,0.00040707,0.00040707
66,785.051,0.18136,0.21951,0.14215,0.78479,0.96915,0.98889,0.99048,0.95487,0.96875,0.98848,0.98984,0.92161,0.27622,0.39941,0.19315,0.77479,0.000396071,0.000396071,0.000396071
67,796.763,0.1859,0.22527,0.14698,0.78469,0.97815,0.9856,0.99225,0.95705,0.97753,0.98498,0.99165,0.92605,0.27271,0.39653,0.18666,0.77506,0.000385073,0.000385073,0.000385073
68,808.618,0.18421,0.2218,0.14679,0.78582,0.97513,0.98305,0.98641,0.95221,0.97493,0.98286,0.98608,0.92563,0.27218,0.37029,0.19184,0.77422,0.000374074,0.000374074,0.000374074
69,820.381,0.18845,0.22302,0.14898,0.78701,0.97829,0.98546,0.99095,0.95478,0.97787,0.98503,0.99053,0.92627,0.27834,0.38979,0.19074,0.77444,0.000363075,0.000363075,0.000363075
70,832.092,0.18553,0.22,0.14907,0.7851,0.97823,0.98478,0.99009,0.95163,0.97801,0.98457,0.98981,0.92391,0.2781,0.38778,0.19202,0.77402,0.000352076,0.000352076,0.000352076
71,843.796,0.18516,0.21951,0.14884,0.78589,0.9793,0.9834,0.98838,0.95061,0.97909,0.98319,0.98824,0.91955,0.28733,0.41654,0.19098,0.7743,0.000341077,0.000341077,0.000341077
72,855.647,0.18144,0.22033,0.14436,0.78649,0.97793,0.98393,0.99185,0.95415,0.97751,0.98351,0.99155,0.91761,0.2905,0.42788,0.18995,0.77426,0.000330078,0.000330078,0.000330078
73,867.369,0.17662,0.21756,0.13906,0.78224,0.976,0.98392,0.9914,0.95791,0.97555,0.98354,0.99114,0.92551,0.26704,0.38253,0.18628,0.77363,0.000319079,0.000319079,0.000319079
74,879.063,0.17569,0.2145,0.1406,0.78228,0.97363,0.98801,0.9919,0.95435,0.97299,0.98737,0.99162,0.92059,0.28147,0.4292,0.18869,0.77522,0.00030808,0.00030808,0.00030808
75,890.781,0.17407,0.20977,0.13722,0.78272,0.97112,0.98669,0.98777,0.95177,0.96954,0.98684,0.98744,0.92308,0.27489,0.40644,0.19287,0.77425,0.000297081,0.000297081,0.000297081
76,902.56,0.1755,0.20796,0.13617,0.78239,0.97805,0.98217,0.99152,0.95434,0.97763,0.98174,0.99123,0.92398,0.2846,0.42356,0.19117,0.77458,0.000286083,0.000286083,0.000286083
77,914.347,0.17343,0.20658,0.13699,0.78358,0.97332,0.98661,0.99161,0.95468,0.97312,0.98642,0.99138,0.91572,0.28347,0.44102,0.18781,0.77431,0.000275084,0.000275084,0.000275084
78,926.065,0.17374,0.20916,0.13583,0.78395,0.97548,0.98294,0.9909,0.95703,0.97529,0.98274,0.99062,0.92547,0.27408,0.40128,0.18979,0.7733,0.000264085,0.000264085,0.000264085
79,937.795,0.16904,0.20582,0.13307,0.78387,0.97254,0.98696,0.99041,0.95602,0.97212,0.98653,0.98996,0.92452,0.27646,0.41883,0.18709,0.77379,0.000253086,0.000253086,0.000253086
80,949.51,0.16516,0.20267,0.12945,0.78339,0.97709,0.98663,0.98993,0.9549,0.97667,0.9862,0.98948,0.9228,0.27622,0.42151,0.18498,0.77341,0.000242087,0.000242087,0.000242087
81,961.338,0.16611,0.20556,0.1301,0.78337,0.97576,0.98519,0.99013,0.95368,0.97533,0.98476,0.98978,0.9257,0.28004,0.41887,0.19032,0.77373,0.000231088,0.000231088,0.000231088
82,973.091,0.16542,0.20297,0.12954,0.7823,0.97892,0.98301,0.99007,0.95747,0.97872,0.98281,0.98991,0.93218,0.264,0.38594,0.18448,0.77247,0.000220089,0.000220089,0.000220089
83,984.824,0.16413,0.20421,0.12893,0.78181,0.97764,0.98115,0.99037,0.95363,0.97721,0.98073,0.99003,0.92214,0.28051,0.41356,0.18635,0.77277,0.00020909,0.00020909,0.00020909
84,996.576,0.16405,0.19992,0.12785,0.78178,0.97564,0.98406,0.99206,0.95513,0.97522,0.98363,0.99172,0.92217,0.28068,0.43239,0.18699,0.77374,0.000198091,0.000198091,0.000198091
85,1008.32,0.16288,0.20524,0.12789,0.78389,0.97137,0.98894,0.99182,0.95653,0.97095,0.98851,0.99146,0.92575,0.27553,0.43111,0.18362,0.77397,0.000187092,0.000187092,0.000187092
